x,y,label,text
24.04813,27.775953,neutralny wydźwięk,"@USER Jakieś zjebanie, nienawistni chuje bronią dostępu do przybytku miłości"
38.072895,18.361052,neutralny wydźwięk,@USER @USER @USER Na takie pytania to może odpowiadać trener albo dyrektor sportowy na konferencji.
-61.73988,22.53243,pozytywny wydźwięk,"@USER Nie, zostawiliśmy następnym niespodziankę 🤗"
-9.182601,0.5404549,neutralny wydźwięk,"@USER A czwarty był z Litwą, więc się nie liczy."
-64.60265,13.804941,pozytywny wydźwięk,Ale jakiś reportazyk bym sobie zrobiła 💁💁💁
15.352148,14.624444,neutralny wydźwięk,"@USER błąd logiczny, te pieniądze kiedyś były wasze, teraz już sa nasze i nic wam do tego towarzyszu"
-62.610435,18.063452,pozytywny wydźwięk,@USER jeju czuje taka ulgę ze szok 😁
16.991318,-23.680874,neutralny wydźwięk,"@USER Nowe chodnikowe powiedzonko brzmi:\n\nPierdolisz jak Morawiecki, realy.\n\n@USER @USER \n\nHybryda głupoty."
-3.764614,-9.963878,neutralny wydźwięk,Dziś o godz. 20:00 Prezydent RP wygłosi orędzie.
31.338833,-41.04339,neutralny wydźwięk,@USER A kiedy napiszecie  ile HGW kamienic przewaliła w Warszawie?
24.718632,-38.658035,neutralny wydźwięk,@USER @USER @USER A Panu nie brakuje czasem art. 87 pkt1?
32.594822,-45.759132,neutralny wydźwięk,@USER A czy ta ręka według Jagusi tez była słuszna?
-48.67553,13.890887,pozytywny wydźwięk,#FF dla dyrektora zespołu prasowego @USER  ➡️ @USER
30.10787,-51.097836,neutralny wydźwięk,@USER ktos mi pomoze z matma??? PROSZW
-18.84096,4.6698823,negatywny wydźwięk,"Stęskniłam się za nim i martwiłam się, że nie pisał dwa dni i bardzo mi ulżyło kiedy zobaczyłam wiadomość od niego"
11.195194,28.149784,neutralny wydźwięk,"22 mosty Morawieckiego to ciąg dalszy Paragrafu 22, tylko mniej realistyczne."
31.13982,-44.191593,neutralny wydźwięk,@USER I kogo tak bardzo zabrakło z niepowołanych?
25.064747,1.2423186,neutralny wydźwięk,"@USER @USER @USER @USER @USER E tam, są wybitni i ponadczasowi zupełnie."
41.04325,-15.215644,neutralny wydźwięk,@USER Jak jakiś będzie to poinformujemy.
-30.80611,-18.415083,negatywny wydźwięk,@USER @USER ale szacunek że się do tego przyznajesz :) byli tacy co też tak uważali a teraz udają że wcale tak nie mówili
11.113846,-22.643398,neutralny wydźwięk,"Jak się słucha Pana Matczaka to na myśl przychodzą słowa W.Gomułki \""człowiek o mentalności Alfonsa\"". Pasuje jak ulał tym razem."
-13.147633,15.950291,negatywny wydźwięk,"@USER @USER @USER Chętnie bym coś zajebał albo dał lapóweczkę, ale nie mogę się przełamać, jestem taką pizdą"
-2.1979241,4.51982,neutralny wydźwięk,@USER @USER A skąd on wie jak jest w innych klubach ? Niech się wypowiada o klubach w których grał.
-49.96321,22.472288,pozytywny wydźwięk,@USER @USER szacunek też za to jak w zeszłym sezonie popisali się fair play w meczu z Jagiellonią 👏
52.64466,1.8422476,neutralny wydźwięk,@USER @USER 10 dziadków na Herod babcię @USER
30.152023,-47.41706,neutralny wydźwięk,@USER może to od wieku zależy czy coś
53.747875,2.58869,neutralny wydźwięk,"@USER Podlasie za stanowczą interwencją, wszyscy z babcią herod @USER"
0.7703143,13.267316,neutralny wydźwięk,"@USER Też zauważyłem to. Mam kartę służbową, której raczej nie używam i porównanie z moim Playem. Duża różnica w zasiegu."
3.8654735,-27.73343,neutralny wydźwięk,"@USER No teraz tak sobie myśle ze mogą mieć problem z dojazdami czy coś, ale marudzą akurat ci co mieszkają na miejscu xd"
4.0885015,-28.410889,neutralny wydźwięk,@USER Ciiiiiiii bo ja sie przejmuję XD
-46.557396,29.293428,pozytywny wydźwięk,"@USER Mnie rozbawiło jak mówi, że został z tym zupełnie sam a później dziękuje za wsparcie klubowi, trenerom, znajomym i rodzinie 😂"
37.910355,-13.903497,neutralny wydźwięk,@USER @USER @USER @USER @USER Tak jak  Rocco Siffredi
39.26834,25.655418,neutralny wydźwięk,"@USER Tak, to amfora szyjowa panatenajska o pojemności podróżnej. Czyli, że do samolotu można."
20.876944,13.729582,neutralny wydźwięk,@USER @USER jakie fakty ? Idąc tym idiotycznym tokiem rozumowania to i tak Zieńczuk ma więcej bramek
-19.582277,5.2641306,negatywny wydźwięk,"Mięśnie brzucha szybko da się wyrobić, już tydzień ćwiczę, ale teraz nie mam siły się zebrać"
-3.097755,12.4226055,neutralny wydźwięk,"@USER IMO niepotrzebnie naklejali do prezentacji. Grają przecież jeszcze w pucharach, tam ich nie muszą mieć."
