,layer,position,iia
0,0,0,0.0
1,0,1,0.0
2,0,2,0.0
3,0,3,0.3
4,0,4,0.0
5,0,5,0.04
6,0,6,0.0
7,0,7,0.0
8,0,8,0.04
9,0,9,0.0
10,0,10,0.0
11,0,11,0.0
12,0,12,0.04
13,0,13,0.0
14,0,14,0.0
15,0,15,0.0
16,0,16,0.06
17,0,17,0.22
18,0,18,0.0
19,0,19,0.0
20,0,20,0.0
21,0,21,0.5
22,0,22,0.0
23,0,23,0.0
24,0,24,0.04
25,0,25,0.02
26,0,26,0.02
27,0,27,0.02
28,0,28,0.0
29,0,29,0.0
30,0,30,0.0
31,0,31,0.0
32,0,32,0.74
33,0,33,0.04
34,0,34,0.08
35,0,35,0.02
36,0,36,0.06
37,0,37,0.4
38,0,38,0.0
39,0,39,0.0
40,0,40,0.0
41,0,41,0.26
42,0,42,0.0
43,0,43,0.0
44,0,44,0.0
45,0,45,0.04
46,1,0,0.0
47,1,1,0.0
48,1,2,0.0
49,1,3,0.02
50,1,4,0.0
51,1,5,0.02
52,1,6,0.0
53,1,7,0.0
54,1,8,0.0
55,1,9,0.0
56,1,10,0.0
57,1,11,0.0
58,1,12,0.18
59,1,13,0.04
60,1,14,0.02
61,1,15,0.0
62,1,16,0.04
63,1,17,0.24
64,1,18,0.0
65,1,19,0.0
66,1,20,0.0
67,1,21,0.42
68,1,22,0.18
69,1,23,0.06
70,1,24,0.06
71,1,25,0.1
72,1,26,0.2
73,1,27,0.04
74,1,28,0.0
75,1,29,0.0
76,1,30,0.0
77,1,31,0.0
78,1,32,0.68
79,1,33,0.14
80,1,34,0.14
81,1,35,0.2
82,1,36,0.24
83,1,37,0.38
84,1,38,0.0
85,1,39,0.0
86,1,40,0.0
87,1,41,0.24
88,1,42,0.0
89,1,43,0.02
90,1,44,0.02
91,1,45,0.06
92,2,0,0.0
93,2,1,0.0
94,2,2,0.0
95,2,3,0.34
96,2,4,0.34
97,2,5,0.0
98,2,6,0.0
99,2,7,0.0
100,2,8,0.28
101,2,9,0.0
102,2,10,0.0
103,2,11,0.0
104,2,12,0.0
105,2,13,0.02
106,2,14,0.0
107,2,15,0.0
108,2,16,0.0
109,2,17,0.36
110,2,18,0.04
111,2,19,0.0
112,2,20,0.0
113,2,21,0.1
114,2,22,0.04
115,2,23,0.0
116,2,24,0.0
117,2,25,0.02
118,2,26,0.14
119,2,27,0.54
120,2,28,0.0
121,2,29,0.0
122,2,30,0.0
123,2,31,0.0
124,2,32,0.4
125,2,33,0.14
126,2,34,0.02
127,2,35,0.06
128,2,36,0.26
129,2,37,0.68
130,2,38,0.04
131,2,39,0.0
132,2,40,0.0
133,2,41,0.06
134,2,42,0.08
135,2,43,0.04
136,2,44,0.0
137,2,45,0.06
138,3,0,0.0
139,3,1,0.0
140,3,2,0.0
141,3,3,0.0
142,3,4,0.18
143,3,5,0.0
144,3,6,0.0
145,3,7,0.0
146,3,8,0.0
147,3,9,0.04
148,3,10,0.0
149,3,11,0.0
150,3,12,0.02
151,3,13,0.0
152,3,14,0.0
153,3,15,0.0
154,3,16,0.0
155,3,17,0.12
156,3,18,0.0
157,3,19,0.0
158,3,20,0.0
159,3,21,0.06
160,3,22,0.06
161,3,23,0.0
162,3,24,0.0
163,3,25,0.0
164,3,26,0.0
165,3,27,0.16
166,3,28,0.0
167,3,29,0.0
168,3,30,0.0
169,3,31,0.0
170,3,32,0.04
171,3,33,0.0
172,3,34,0.0
173,3,35,0.0
174,3,36,0.0
175,3,37,0.42
176,3,38,0.02
177,3,39,0.0
178,3,40,0.0
179,3,41,0.0
180,3,42,0.02
181,3,43,0.0
182,3,44,0.18
183,3,45,0.84
184,4,0,0.0
185,4,1,0.0
186,4,2,0.0
187,4,3,0.0
188,4,4,0.18
189,4,5,0.0
190,4,6,0.0
191,4,7,0.0
192,4,8,0.0
193,4,9,0.0
194,4,10,0.0
195,4,11,0.0
196,4,12,0.0
197,4,13,0.0
198,4,14,0.0
199,4,15,0.0
200,4,16,0.0
201,4,17,0.0
202,4,18,0.0
203,4,19,0.0
204,4,20,0.0
205,4,21,0.0
206,4,22,0.0
207,4,23,0.0
208,4,24,0.0
209,4,25,0.0
210,4,26,0.0
211,4,27,0.0
212,4,28,0.0
213,4,29,0.0
214,4,30,0.0
215,4,31,0.0
216,4,32,0.0
217,4,33,0.0
218,4,34,0.0
219,4,35,0.0
220,4,36,0.0
221,4,37,0.0
222,4,38,0.0
223,4,39,0.0
224,4,40,0.0
225,4,41,0.02
226,4,42,0.0
227,4,43,0.0
228,4,44,0.22
229,4,45,0.46
230,5,0,0.0
231,5,1,0.0
232,5,2,0.0
233,5,3,0.0
234,5,4,0.0
235,5,5,0.0
236,5,6,0.0
237,5,7,0.0
238,5,8,0.0
239,5,9,0.0
240,5,10,0.0
241,5,11,0.0
242,5,12,0.0
243,5,13,0.0
244,5,14,0.0
245,5,15,0.0
246,5,16,0.0
247,5,17,0.0
248,5,18,0.0
249,5,19,0.0
250,5,20,0.0
251,5,21,0.0
252,5,22,0.0
253,5,23,0.0
254,5,24,0.0
255,5,25,0.0
256,5,26,0.0
257,5,27,0.0
258,5,28,0.0
259,5,29,0.0
260,5,30,0.0
261,5,31,0.0
262,5,32,0.0
263,5,33,0.0
264,5,34,0.0
265,5,35,0.0
266,5,36,0.0
267,5,37,0.0
268,5,38,0.0
269,5,39,0.0
270,5,40,0.0
271,5,41,0.0
272,5,42,0.0
273,5,43,0.0
274,5,44,0.0
275,5,45,0.8
