,layer,position,iia
0,0,0,0.0
1,0,1,0.0
2,0,2,0.0
3,0,3,0.32
4,0,4,0.0
5,0,5,0.0
6,0,6,0.0
7,0,7,0.0
8,0,8,0.2
9,0,9,0.0
10,0,10,0.0
11,0,11,0.0
12,0,12,0.08
13,0,13,0.02
14,0,14,0.02
15,0,15,0.0
16,0,16,0.02
17,0,17,0.0
18,0,18,0.02
19,0,19,0.0
20,0,20,0.0
21,0,21,0.04
22,0,22,0.02
23,0,23,0.04
24,0,24,0.0
25,0,25,0.04
26,0,26,0.02
27,0,27,0.06
28,0,28,0.0
29,0,29,0.0
30,0,30,0.0
31,0,31,0.02
32,0,32,0.02
33,0,33,0.02
34,0,34,0.0
35,0,35,0.02
36,0,36,0.02
37,0,37,0.08
38,0,38,0.0
39,0,39,0.02
40,0,40,0.0
41,0,41,0.62
42,0,42,0.0
43,0,43,0.02
44,0,44,0.0
45,0,45,0.04
46,1,0,0.0
47,1,1,0.0
48,1,2,0.0
49,1,3,0.22
50,1,4,0.02
51,1,5,0.02
52,1,6,0.0
53,1,7,0.02
54,1,8,0.22
55,1,9,0.0
56,1,10,0.0
57,1,11,0.0
58,1,12,0.04
59,1,13,0.0
60,1,14,0.02
61,1,15,0.0
62,1,16,0.0
63,1,17,0.18
64,1,18,0.02
65,1,19,0.0
66,1,20,0.02
67,1,21,0.06
68,1,22,0.04
69,1,23,0.0
70,1,24,0.0
71,1,25,0.02
72,1,26,0.04
73,1,27,0.02
74,1,28,0.02
75,1,29,0.0
76,1,30,0.0
77,1,31,0.02
78,1,32,0.02
79,1,33,0.0
80,1,34,0.0
81,1,35,0.0
82,1,36,0.02
83,1,37,0.04
84,1,38,0.02
85,1,39,0.0
86,1,40,0.0
87,1,41,0.7
88,1,42,0.16
89,1,43,0.06
90,1,44,0.04
91,1,45,0.02
92,2,0,0.0
93,2,1,0.0
94,2,2,0.0
95,2,3,0.34
96,2,4,0.0
97,2,5,0.0
98,2,6,0.0
99,2,7,0.0
100,2,8,0.24
101,2,9,0.0
102,2,10,0.0
103,2,11,0.0
104,2,12,0.02
105,2,13,0.0
106,2,14,0.0
107,2,15,0.02
108,2,16,0.02
109,2,17,0.02
110,2,18,0.02
111,2,19,0.0
