,layer,position,acc,f1
0,0,0,0.5,0.2222222222222222
1,0,1,0.5,0.2222222222222222
2,0,2,0.5,0.2222222222222222
3,0,3,0.61,0.41443764099258784
4,0,4,0.61,0.41443764099258784
5,0,5,0.61,0.41443764099258784
6,0,6,0.58,0.3655737062717906
7,0,7,0.65,0.44458689458689465
8,0,8,0.63,0.4255847953216374
9,0,9,0.58,0.3655737062717906
10,0,10,0.63,0.43331561226298065
11,0,11,0.5,0.2222222222222222
12,0,12,0.69,0.7770893096194301
13,0,13,0.5,0.31443932411674347
14,0,14,0.59,0.40549828178694153
15,0,15,0.5,0.2222222222222222
16,0,16,0.57,0.360479797979798
17,0,17,0.6,0.4117710005350455
18,0,18,0.5,0.2222222222222222
19,0,19,0.59,0.404822695035461
20,0,20,0.5,0.2222222222222222
21,0,21,0.94,0.6477987421383647
22,0,22,0.53,0.3546747967479675
23,0,23,0.54,0.3666666666666667
24,0,24,0.56,0.36672738312082576
25,0,25,0.5,0.2222222222222222
26,0,26,0.59,0.3806818181818182
27,0,27,0.58,0.3709799244682966
28,0,28,0.5,0.2222222222222222
29,0,29,0.53,0.3496996996996997
30,0,30,0.55,0.3349917081260365
31,0,31,0.5,0.2222222222222222
32,0,32,0.94,0.6453900709219859
33,0,33,0.65,0.44222437068070325
34,0,34,0.65,0.44621655147970934
35,0,35,0.65,0.4354904354904355
36,0,36,0.67,0.4584045584045584
37,0,37,0.68,0.4671201814058957
38,0,38,0.61,0.39458937198067634
39,0,39,0.61,0.41786692272129167
40,0,40,0.52,0.26685185185185184
41,0,41,0.62,0.4263532763532763
42,0,42,0.55,0.3756179095984921
43,0,43,0.52,0.35714285714285715
44,0,44,0.6,0.3806411453470277
45,0,45,0.58,0.3927648578811369
46,1,0,0.5,0.2222222222222222
47,1,1,0.5,0.2222222222222222
48,1,2,0.5,0.2222222222222222
49,1,3,0.61,0.41443764099258784
50,1,4,0.61,0.41443764099258784
51,1,5,0.61,0.41443764099258784
52,1,6,0.63,0.43331561226298065
53,1,7,0.63,0.43331561226298065
54,1,8,0.65,0.44458689458689465
55,1,9,0.61,0.41443764099258784
56,1,10,0.63,0.43331561226298065
57,1,11,0.6,0.4080409356725146
58,1,12,0.64,0.7428180574555404
59,1,13,0.53,0.3621514660910236
60,1,14,0.59,0.4032304173813608
61,1,15,0.57,0.3900701565029682
62,1,16,0.52,0.35572782084409993
63,1,17,0.6,0.4122479462285287
64,1,18,0.55,0.37774233563707255
65,1,19,0.62,0.4263038548752835
66,1,20,0.59,0.4032304173813608
67,1,21,0.93,0.7318436328145066
68,1,22,0.87,0.5960064759848894
69,1,23,0.86,0.5903019744483159
70,1,24,0.8,0.5480480480480481
71,1,25,0.83,0.5680877855729448
72,1,26,0.8,0.5430196294257934
73,1,27,0.63,0.42967718922775106
74,1,28,0.8,0.5471407598381495
