,layer,position,acc,f1
0,0,0,0.5,0.3333333333333333
1,0,1,0.5,0.3333333333333333
2,0,2,0.5,0.3333333333333333
3,0,3,0.85,0.8492613807657522
4,0,4,0.85,0.8492613807657522
5,0,5,0.79,0.7894736842105263
6,0,6,0.79,0.7863899908452854
7,0,7,0.79,0.7894736842105263
8,0,8,0.85,0.8492613807657522
9,0,9,0.79,0.7894736842105263
10,0,10,0.57,0.5361881134721174
11,0,11,0.79,0.7863899908452854
12,0,12,0.79,0.78997899789979
13,0,13,0.69,0.6897207486738064
14,0,14,0.71,0.7099709970997099
15,0,15,0.68,0.6794871794871795
16,0,16,0.77,0.769792813532179
17,0,17,0.71,0.6991389148251893
18,0,18,0.7,0.6998799519807923
19,0,19,0.73,0.72997299729973
20,0,20,0.72,0.7198879551820728
21,0,21,1.0,1.0
22,0,22,0.68,0.6798719487795117
23,0,23,0.68,0.6794871794871795
24,0,24,0.68,0.6794871794871795
25,0,25,0.67,0.66996699669967
26,0,26,0.73,0.72997299729973
27,0,27,0.74,0.7373737373737375
28,0,28,0.68,0.68
29,0,29,0.69,0.6884735202492211
30,0,30,0.65,0.6439833180754755
31,0,31,0.72,0.7198879551820728
32,0,32,0.64,0.6394230769230769
33,0,33,0.54,0.537037037037037
34,0,34,0.65,0.6491228070175439
35,0,35,0.56,0.5571658615136876
36,0,36,0.58,0.5793269230769231
37,0,37,0.69,0.6862030569895738
38,0,38,0.55,0.5495946351716545
39,0,39,0.71,0.7064480210547626
40,0,40,0.6,0.5993589743589745
41,0,41,1.0,1.0
42,0,42,0.77,0.7631551848419318
43,0,43,0.82,0.8152709359605912
44,0,44,0.77,0.7660461804495982
45,0,45,0.79,0.7863899908452854
46,1,0,0.5,0.3333333333333333
47,1,1,0.5,0.3333333333333333
48,1,2,0.5,0.3333333333333333
49,1,3,0.85,0.8492613807657522
50,1,4,0.84,0.84
51,1,5,0.85,0.8492613807657522
52,1,6,0.84,0.84
53,1,7,0.78,0.7767857142857143
54,1,8,0.85,0.8492613807657522
55,1,9,0.85,0.8492613807657522
56,1,10,0.85,0.8492613807657522
57,1,11,0.85,0.8492613807657522
58,1,12,0.81,0.8095238095238095
59,1,13,0.75,0.74997499749975
