,layer,position,iia
0,0,0,0.0
1,0,1,0.0
2,0,2,0.0
3,0,3,0.0
4,0,4,0.0
5,0,5,0.44
6,0,6,0.0
7,0,7,0.0
8,0,8,0.0
9,0,9,0.0
10,0,10,0.04
11,0,11,0.06
12,0,12,0.06
13,1,0,0.0
14,1,1,0.0
15,1,2,0.0
16,1,3,0.0
17,1,4,0.0
18,1,5,0.4
19,1,6,0.0
20,1,7,0.0
21,1,8,0.02
22,1,9,0.06
23,1,10,0.06
24,1,11,0.1
25,1,12,0.08
26,2,0,0.0
27,2,1,0.0
28,2,2,0.0
29,2,3,0.0
30,2,4,0.0
31,2,5,0.4
32,2,6,0.0
33,2,7,0.06
34,2,8,0.06
35,2,9,0.06
36,2,10,0.06
37,2,11,0.14
38,2,12,0.2
39,3,0,0.0
40,3,1,0.0
41,3,2,0.0
42,3,3,0.0
43,3,4,0.0
44,3,5,0.12
45,3,6,0.0
46,3,7,0.0
47,3,8,0.0
48,3,9,0.0
49,3,10,0.06
50,3,11,0.08
51,3,12,0.46
52,4,0,0.0
53,4,1,0.0
54,4,2,0.0
55,4,3,0.0
56,4,4,0.0
57,4,5,0.0
58,4,6,0.0
59,4,7,0.0
60,4,8,0.0
61,4,9,0.0
62,4,10,0.06
63,4,11,0.08
64,4,12,0.64
65,5,0,0.0
66,5,1,0.0
67,5,2,0.0
68,5,3,0.0
69,5,4,0.0
70,5,5,0.0
71,5,6,0.0
72,5,7,0.0
73,5,8,0.0
74,5,9,0.0
75,5,10,0.0
76,5,11,0.0
77,5,12,0.56
