,layer,position,acc,f1
0,0,0,0.31,0.09465648854961832
1,0,1,0.31,0.09465648854961832
2,0,2,0.31,0.09465648854961832
3,0,3,0.31,0.09465648854961832
4,0,4,0.31,0.09465648854961832
5,0,5,1.0,1.0
6,0,6,0.98,0.7927437641723356
7,0,7,0.94,0.8828524046434494
8,0,8,0.43,0.27175141242937856
9,0,9,0.91,0.6129983944068451
10,0,10,0.87,0.5839635157545604
11,0,11,0.83,0.5606019020103528
12,0,12,0.83,0.5606019020103528
13,1,0,0.31,0.09465648854961832
14,1,1,0.31,0.09465648854961832
15,1,2,0.31,0.09465648854961832
16,1,3,0.31,0.09465648854961832
17,1,4,0.31,0.09465648854961832
18,1,5,1.0,1.0
19,1,6,1.0,1.0
20,1,7,1.0,1.0
21,1,8,0.93,0.7456543370105991
22,1,9,0.99,0.9834920634920635
23,1,10,0.99,0.9834920634920635
24,1,11,1.0,1.0
25,1,12,1.0,1.0
26,2,0,0.31,0.09465648854961832
27,2,1,0.31,0.09465648854961832
28,2,2,0.31,0.09465648854961832
29,2,3,0.31,0.09465648854961832
30,2,4,0.31,0.09465648854961832
31,2,5,1.0,1.0
32,2,6,1.0,1.0
33,2,7,1.0,1.0
34,2,8,1.0,1.0
35,2,9,1.0,1.0
36,2,10,1.0,1.0
37,2,11,1.0,1.0
38,2,12,1.0,1.0
39,3,0,0.31,0.09465648854961832
40,3,1,0.31,0.09465648854961832
41,3,2,0.31,0.09465648854961832
42,3,3,0.31,0.09465648854961832
43,3,4,0.31,0.09465648854961832
44,3,5,1.0,1.0
45,3,6,1.0,1.0
46,3,7,1.0,1.0
47,3,8,1.0,1.0
48,3,9,1.0,1.0
49,3,10,1.0,1.0
50,3,11,1.0,1.0
51,3,12,1.0,1.0
52,4,0,0.31,0.09465648854961832
53,4,1,0.31,0.09465648854961832
54,4,2,0.31,0.09465648854961832
55,4,3,0.31,0.09465648854961832
56,4,4,0.31,0.09465648854961832
57,4,5,1.0,1.0
58,4,6,1.0,1.0
59,4,7,1.0,1.0
60,4,8,1.0,1.0
61,4,9,1.0,1.0
62,4,10,1.0,1.0
63,4,11,1.0,1.0
64,4,12,1.0,1.0
65,5,0,0.31,0.09465648854961832
66,5,1,0.31,0.09465648854961832
67,5,2,0.31,0.09465648854961832
68,5,3,0.31,0.09465648854961832
69,5,4,0.31,0.09465648854961832
70,5,5,1.0,1.0
71,5,6,1.0,1.0
72,5,7,1.0,1.0
73,5,8,1.0,1.0
74,5,9,1.0,1.0
75,5,10,1.0,1.0
76,5,11,1.0,1.0
77,5,12,1.0,1.0
